id,name,host_id,host_name,hosts_time_as_user_years,hosts_time_as_host_years,review_scores_rating,estimated_occupancy_l365d,price,minimum_nights,maximum_nights,number_of_reviews_ltm,reviews_per_month,estimated_revenue_l365d,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,num_amenities,bedrooms,beds,bathrooms,availability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_is_superhost,host_has_profile_pic,host_identity_verified
1700071725997866997,"Klik Habits: confort, diseño y gran ubicación",564157385,Weeki,2,2.0,,0,185000.0,1.0,365.0,0,0.0,0.0,Barrios Unidos,4.6807748,-74.063444,Entire Rental Unit,Entire Home/Apt,2,20,1.0,1.0,1.0,365,,,,,,,False,True,True
1700100088533667493,Loft moderno al lado de la Clínica Santa Fe,412992193,Ana Gabriela,4,0.0,,0,155000.0,2.0,365.0,0,0.0,0.0,Usaquen,4.695881040004373,-74.03282906,Entire Rental Unit,Entire Home/Apt,2,11,1.0,1.0,1.0,365,,,,,,,True,True,True
1700105835343782698,Casa Boutique Completa en Bogotá | Rex House,235935629,Rex House,7,3.0,,0,365176.64,1.0,1125.0,0,0.0,0.0,Teusaquillo,4.6444236070017535,-74.06880532,Entire Home,Entire Home/Apt,12,32,6.0,9.0,2.0,183,,,,,,,True,True,True
1700126408987409862,Casa Campestre en conjunto cerrado,8272324,SebastiÃ¡n,12,0.0,,0,1084119.0,1.0,365.0,0,0.0,0.0,Chapinero,4.6775201,-74.0421165,Entire Home,Entire Home/Apt,10,14,1.0,1.0,1.0,365,,,,,,,False,False,True
1700134147346404634,Habitación Individual en Chapinero,756183162,Yesid Fabian,0,0.0,,0,105504.0,1.0,99.0,0,0.0,0.0,Chapinero,4.6522555,-74.0626301,Room In Hotel,Private Room,1,7,1.0,1.0,1.0,362,,,,,,,False,True,True
1700135474014725835,Lujoso Apartaestudio en Corferias,592204118,Agunadi Sas,1,1.0,5.0,18,180000.0,1.0,365.0,3,3.0,3240000.0,Teusaquillo,4.628765951,-74.08446922,Entire Rental Unit,Entire Home/Apt,4,34,1.0,2.0,1.0,335,5.0,5.0,5.0,5.0,4.67,5.0,True,True,True
1700136826820456307,Loft premium con skyline y rooftop panorámico,1685091356304640377,Dossel Prime Building,0,0.0,,0,150365.0,2.0,365.0,0,0.0,0.0,Usaquen,4.7163603,-74.0423486,Entire Rental Unit,Entire Home/Apt,2,22,1.0,1.0,1.0,361,,,,,,,False,True,True
1700144801566766077,Blue Sky Chicó: View and Comfort,514172291,Gabriel,3,3.0,,0,197423.62,1.0,365.0,0,0.0,0.0,Chapinero,4.68479,-74.05738,Entire Loft,Entire Home/Apt,2,38,0.0,1.0,1.0,359,,,,,,,False,True,True
1700162691956896310,Apto nuevo | Parqueo gratis | Wi fi veloz | Cinema,115670083,Santiago,9,5.0,5.0,6,319530.0,1.0,365.0,1,1.0,1917180.0,Usaquen,4.689120099999999,-74.0416397,Entire Rental Unit,Entire Home/Apt,5,65,2.0,3.0,2.0,251,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True
1700182938519480341,"B | P17 Vista en las Alturas, S Pool, Wifi 500M",399064887,Cristian Carvajal,5,4.0,,0,215733.33,2.0,365.0,0,0.0,0.0,Barrios Unidos,4.6576776113515965,-74.06276398,Entire Rental Unit,Entire Home/Apt,3,74,1.0,2.0,1.0,345,,,,,,,True,True,True
1700204881930466317,Acogedor Estudio | Vista a la ciudad,240313036,Veronica,7,0.0,5.0,30,135425.0,1.0,99.0,5,5.0,4062750.0,Santa Fe,4.621835799999999,-74.0693212,Entire Rental Unit,Entire Home/Apt,2,8,1.0,1.0,1.0,360,5.0,5.0,5.0,5.0,4.8,5.0,True,True,True
1700222695039420975,Acogedor Aparta estudio en Chapinero para estrenar,87371422,Fabio,9,6.0,4.0,6,114118.0,2.0,365.0,1,1.0,684708.0,Chapinero,4.6461988,-74.062533,Entire Rental Unit,Entire Home/Apt,2,10,1.0,1.0,1.0,360,4.0,5.0,5.0,4.0,5.0,4.0,False,True,True
1700244316283316874,Boutique Loft | Near airport | Cafés & Dining,108861633,Tatiana,9,2.0,5.0,24,148582.0,1.0,365.0,4,4.0,3565968.0,Fontibon,4.669548715937842,-74.11559073,Entire Rental Unit,Entire Home/Apt,3,22,1.0,2.0,1.0,346,5.0,5.0,5.0,5.0,5.0,5.0,False,True,True
1700252211878385886,Work&Relax: Estancia en el Corazón de North Point,443253029,Nubia Carolina,4,0.0,,0,141064.09,2.0,365.0,0,0.0,0.0,Usaquen,4.7318134,-74.0224663,Entire Rental Unit,Entire Home/Apt,2,44,1.0,2.0,1.0,361,,,,,,,False,True,True
1700316224830224419,Loft de lujo cerca Corferias - Embajada Americana,327150845,Diego,6,1.0,,0,182588.5,2.0,365.0,0,0.0,0.0,Teusaquillo,4.628608051409601,-74.08613144,Entire Rental Unit,Entire Home/Apt,3,12,1.0,1.0,1.0,264,,,,,,,True,True,True
1700322540305329712,Suite Parque 93 Parque El Virrey.,3465014,Carlos,13,3.0,,0,159057.33,3.0,365.0,0,0.0,0.0,Chapinero,4.6773,-74.05313,Entire Rental Unit,Entire Home/Apt,2,7,1.0,1.0,1.0,357,,,,,,,False,True,True
1700336174729630409,"Moderno apartaestudio, cómodo y bien ubicado.",445384858,Javier,4,1.0,5.0,6,91294.16,2.0,365.0,1,1.0,547765.0,Kennedy,4.607306256521478,-74.15670079,Entire Rental Unit,Entire Home/Apt,2,17,1.0,1.0,1.0,362,5.0,4.0,5.0,5.0,4.0,5.0,False,True,True
1700429736558593687,Apartamento Parque de la 93 - 404,458633093,Astrid,4,4.0,5.0,6,376589.0,1.0,1125.0,1,1.0,2259534.0,Chapinero,4.678592543318773,-74.04901978,Entire Rental Unit,Entire Home/Apt,6,38,3.0,4.0,2.0,301,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True
1700462222291599178,"Apartment Steps from Parque 93 & Zona T, fast WiFi",216928171,Mario,7,0.0,,0,135515.0,1.0,365.0,0,0.0,0.0,Chapinero,4.679342991864836,-74.04748226,Entire Rental Unit,Entire Home/Apt,3,30,1.0,1.0,1.0,361,,,,,,,False,True,True
1700469100763089262,Boutique loft | Near AirPort | Great Location,476147485,Eduardo,3,2.0,3.5,12,194001.0,1.0,365.0,2,2.0,2328012.0,Fontibon,4.669872580272256,-74.11543943,Entire Rental Unit,Entire Home/Apt,4,23,2.0,2.0,1.0,352,4.5,5.0,5.0,5.0,5.0,3.5,False,True,True
1700708460705168175,Apartamento de 2 hab y 2 baños cerca a Corferias,51490561,Bibiana,10,9.0,,0,94400.0,1.0,25.0,0,0.0,0.0,Teusaquillo,4.6310747,-74.087494,Entire Rental Unit,Entire Home/Apt,4,8,2.0,3.0,2.0,353,,,,,,,False,True,True
1700723469736131635,Amazonia 96 | Big Studio | Parque 93,27327722,Carlos Andres,11,0.0,,0,251058.94,1.0,365.0,0,0.0,0.0,Chapinero,4.683185986801535,-74.05487551,Entire Rental Unit,Entire Home/Apt,2,35,1.0,1.0,1.0,364,,,,,,,False,True,True
1700732811216411807,Mini apto muy tranquilo en pleno centro de Bogotá,489068318,Sebastian,3,1.0,,0,110695.0,1.0,365.0,0,0.0,0.0,Santa Fe,4.6037927,-74.0729738,Entire Rental Unit,Entire Home/Apt,2,29,1.0,1.0,1.0,359,,,,,,,False,True,True
1700735212156622174,Modern Apartment whith terrace,35472704,Duberney,11,9.0,,0,614459.0,1.0,720.0,0,0.0,0.0,Teusaquillo,4.644381949735566,-74.06579292,Entire Rental Unit,Entire Home/Apt,5,7,2.0,2.0,1.0,360,,,,,,,True,True,True
1700765268672333267,Stylish Loft: Historic Elegance in Bogotá's Heart,104392630,Juan Manuel,9,6.0,,0,155000.0,1.0,365.0,0,0.0,0.0,Candelaria,4.598739851058605,-74.06845233,Entire Rental Unit,Entire Home/Apt,3,16,1.0,2.0,1.0,328,,,,,,,False,True,True
1700789575533088753,Habitación sencilla baño privado,464291095,Casa,4,4.0,5.0,6,48902.63,1.0,365.0,1,1.0,293416.0,Teusaquillo,4.6392235,-74.0689593,Private Room In Home,Private Room,1,3,1.0,1.0,1.0,317,5.0,4.0,5.0,5.0,5.0,5.0,False,True,True
1700833286915159148,Habitación doble cerca al aeropuerto,476259164,AndrÃ©s,3,3.0,,0,65000.0,1.0,365.0,0,0.0,0.0,Fontibon,4.6688503,-74.1195217,Private Room In Home,Private Room,2,12,1.0,1.0,2.0,361,,,,,,,True,True,True
1700930803661363282,Apartamento de dos pisos Unicentro a Bogotá,9962976,Kike,12,11.0,,0,260000.0,1.0,365.0,0,0.0,0.0,Usaquen,4.698303567893837,-74.03821566,Entire Rental Unit,Entire Home/Apt,4,11,2.0,2.0,2.0,329,,,,,,,False,True,True
1700959998824581776,"Penthouse – Confort, vista y estilo - Alamos",1694400209788270400,Eliseo,0,0.0,,0,101000.0,1.0,7.0,0,0.0,0.0,Engativa,4.696772971235828,-74.12285545,Entire Rental Unit,Entire Home/Apt,5,38,2.0,4.0,1.0,269,,,,,,,False,True,True
1700971860304591605,Habitación triple cerca al aeropuerto,476259164,AndrÃ©s,3,3.0,,0,95000.0,1.0,365.0,0,0.0,0.0,Fontibon,4.67,-74.12004,Private Room In Home,Private Room,3,15,1.0,2.0,2.0,362,,,,,,,True,True,True
1700973833007658146,Confort y Naturaleza: Habitación Privada,131898467,Jorge,9,6.0,,0,42000.0,15.0,365.0,0,0.0,0.0,Suba,4.733115,-74.0782406,Private Room In Home,Private Room,1,4,1.0,1.0,2.0,335,,,,,,,True,True,True
1700999759609742569,Habitación doble cerca al aeropuerto,476259164,AndrÃ©s,3,3.0,5.0,6,65000.0,1.0,365.0,1,1.0,390000.0,Fontibon,4.667790750827843,-74.11839211,Private Room In Home,Private Room,2,12,1.0,1.0,2.0,365,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True
1701006450193354200,Habitación doble cerca del aeropuerto,476259164,AndrÃ©s,3,3.0,,0,65000.0,1.0,365.0,0,0.0,0.0,Fontibon,4.669940668469009,-74.11987173,Private Room In Home,Private Room,2,15,1.0,1.0,2.0,346,,,,,,,True,True,True
